inegi_id,restaurant_name,restaurant_capacity,street_name,ext_number,int_number,coord_long,coord_lat,city
09015722511010541000000000U3,RESTAURANTES CON SERVICIO DE PREPARACIÓN DE ALIMENTOS A LA CARTA O DE COMIDA CORRIDA SIN NOMBRE,0-5,LONDRES,154,223,-99.16561745,19.42457883,CDMX
09015722518011741000000000U3,COCINA ECONOMICA EL 97,0-5,LONDRES,154,97,-99.16561745,19.42457883,CDMX
09015722518010081000000000U5,CAFE LOLITA,0-5,LONDRES,154,80,-99.16561745,19.42457883,CDMX
09015722514017191000000000U4,TORTATITLAN,0-5,LONDRES,154,73,-99.16561745,19.42457883,CDMX
09015722518005941000000000U7,LA COCINA DEL BO,0-5,LONDRES,154,,-99.16561745,19.42457883,CDMX
09015722518005121001000000U6,COCINA VICTORIA,0-5,LONDRES,154,68,-99.16561745,19.42457883,CDMX
09015722212000091010000000U6,ANTOJITOS MEXICANOS,0-5,LONDRES,154,74,-99.16561745,19.42457883,CDMX
09015722212022081000000000U1,COCINA MARIA FELIX,0-5,LONDRES,154,66,-99.16561745,19.42457883,CDMX
09015722511021401000000000U7,COCINA SIN NOMBRE,0-5,LONDRES,154,67,-99.16561745,19.42457883,CDMX
09015722511010952000000000U2,EL SABOR DE MI HOGAR,0-5,LONDRES,154,75,-99.16561745,19.42457883,CDMX
09015722518009591000000000U6,COCINA ECONOMICA SIN NOMBRE,0-5,LONDRES,154,85,-99.16561745,19.42457883,CDMX
09015722110002242000000000U9,RESTAURANTE BAR EL RONQUILLO,11-30,RIO RHIN,75,,-99.16458805,19.43026244,CDMX
09016722110000231000000000U2,LA CATRINA,0-5,PARQUE LIRA,,6,-99.18743442,19.40312319,CDMX
09016722219009652001000000U9,TAQUERIA LA PERLA DE JALISCO,11-30,MEXICO TACUBA,39,0,-99.16697809,19.44443769,CDMX
09015722511005943000000000U8,NUEVO RESTAURANTE TOKYO,6-10,HAMBURGO,0,134,-99.16527572,19.42585949,CDMX
09015722511021752000000000U3,PANUCO 36,6-10,RIO PANUCO,36,,-99.16449179,19.43198473,CDMX
15057722514005371000000000U0,TORTAS GIGANTES CHILO,0-5,INGENIEROS MILITARES,,,-99.21437363,19.45868844,CDMX
09015722511016994000000000U8,BELLA AURORA,6-10,MEDELLIN,35,0,-99.16685787,19.42097840,CDMX
09016722212004991000000000U1,COCINA ECONOMICA DOÑA PAU,6-10,SAN JACINTO,20,0,-99.17000168,19.44983791,CDMX
09015722219015311000000000U6,LAS QUECAS FACTORY,0-5,SALVADOR ALVARADO,186,,-99.17840466,19.40724865,CDMX
09015722516001242000000000U8,LA ISLA DEL DRAGON,6-10,LONDRES,161,169,-99.16550071,19.42477034,CDMX
15057722517001573010028213S8,CARLS JR PARQUE TOREO,0-5,MANUEL ÁVILA CAMACHO,5,,-99.22015219,19.45432673,CDMX
09015722511003412000000000U6,SEÑOR GRILL RESTAURANTE,31-50,AMBERES,40,,-99.16526805,19.42564397,CDMX
09015722219010231000000000U1,HEMINGWAY,0-5,ESTRASBURGO,9,0,-99.16500753,19.42681514,CDMX
09016722514002061000000000U4,TACOS DE GUISADO,0-5,DE LOS MAESTROS,0,0,-99.16720194,19.44508915,CDMX
09010722513005381000000000U8,ANTOJITOS MEXICANOS,0-5,PONIENTE 81,129,,-99.19871600,19.40173449,CDMX
09016722511008601000000000U7,RESTAURANT TO AMADRE,0-5,GOLFO DE TEHUANTEPEC,39,,-99.18956768,19.46269380,CDMX
09016722212004951000000000U5,ANTOJITOS BERE,0-5,ERASMO CASTELLANOS QUINTO,0,,-99.18846274,19.40276894,CDMX
09015722511009014000000000U4,CASA 1900,31-50,DURANGO,204,,-99.16746190,19.41952281,CDMX
